data_year,month_number,report_month_start_date,organization_id,expenses_group_id,ВидПроекта_GUID,ФункцияПроекта_GUID,project_objective,scenario,indicator_value,project_type_high_level
2024,6,6/1/2024,75bda05a-10c3-11df-9ede-001f3c2880c7,7efeae1d-77c4-42a4-b53b-c201984cf6a3,852C5325-F32D-472C-9689-B8C13312005B,017AE22C-30D6-4CED-B088-770666BA2B7E,Повышение уровня надежности и безаварийности,Факт,0.68,OST
2024,6,6/1/2024,75bda05a-10c3-11df-9ede-001f3c2880c7,7efeae1d-77c4-42a4-b53b-c201984cf6a3,5FB2C0EF-A353-4189-AB45-68D3EBD7109D,F921FBA0-6DF1-4A3C-93EE-99E9B7C11888,Повышение уровня надежности и безаварийности,Факт,62.21,OST
2024,6,6/1/2024,75bda05a-10c3-11df-9ede-001f3c2880c7,7efeae1d-77c4-42a4-b53b-c201984cf6a3,96765D6C-DE6F-4B6E-A8E8-F0D0C0275B0D,D9120554-F1F5-4CE3-AC0C-AB6348CAEB0F,Повышение уровня надежности и безаварийности,Факт,1309.23,OST
2024,6,6/1/2024,75bda05a-10c3-11df-9ede-001f3c2880c7,7efeae1d-77c4-42a4-b53b-c201984cf6a3,CE04B9DD-3965-4E95-85DB-E1CC8545124C,6ACD447B-648A-40AE-B650-F032995A9A47,Повышение уровня надежности и безаварийности,Факт,0.23,OST
2024,6,6/1/2024,75bda05a-10c3-11df-9ede-001f3c2880c7,7efeae1d-77c4-42a4-b53b-c201984cf6a3,C8216EC0-9265-47D1-9529-35CD07158BAD,CA4B8F1A-B4B5-47AB-8692-50480AD4F798,Повышение уровня надежности и безаварийности,Факт,738.29,OST
2024,6,6/1/2024,75bda05a-10c3-11df-9ede-001f3c2880c7,7efeae1d-77c4-42a4-b53b-c201984cf6a3,E3AE9DB2-768E-4F86-9A4C-07DB04D04369,FB0B0A31-B1AB-47D7-81EE-2068830D8383,Повышение уровня надежности и безаварийности,Факт,772.27,OST
2024,6,6/1/2024,75bda05a-10c3-11df-9ede-001f3c2880c7,7efeae1d-77c4-42a4-b53b-c201984cf6a3,2204E36C-2F75-43DA-9668-6C454EE67BDC,19E747A0-E1AE-464E-9F64-3656330A31B4,Повышение уровня надежности и безаварийности,Факт,177.65,OST
2024,6,6/1/2024,75bda05a-10c3-11df-9ede-001f3c2880c7,7efeae1d-77c4-42a4-b53b-c201984cf6a3,C4B2457D-519F-4267-B44F-1EB6AD31BAC3,FD61B418-8335-48B5-9A2D-2A5DF549D116,Повышение уровня надежности и безаварийности,Факт,251.96,OST
2024,6,6/1/2024,75bda05a-10c3-11df-9ede-001f3c2880c7,7efeae1d-77c4-42a4-b53b-c201984cf6a3,4FD90385-CF09-4339-A47A-CDA0930CFF6B,D9FA8546-F06C-4082-9071-10E01078A7E1,Повышение уровня надежности и безаварийности,Факт,3.57,OST
2024,6,6/1/2024,75bda05a-10c3-11df-9ede-001f3c2880c7,7efeae1d-77c4-42a4-b53b-c201984cf6a3,2DA903C4-DC35-4A0C-91ED-B45D1B706ED7,55A25BAB-9372-41E9-94F9-E608521FFE38,Повышение уровня надежности и безаварийности,Факт,66.18,OST
